CaseID,ActivityID,CompleteTimestamp,Resource
Application_652823628,0,2016-01-01 11:51:15,0
Application_652823628,1,2016-01-01 11:51:15,0
Application_652823628,2,2016-01-01 11:52:36,0
Application_652823628,3,2016-01-02 12:45:22,1
Application_652823628,4,2016-01-02 13:23:04,2
Application_652823628,5,2016-01-02 13:29:03,2
Application_652823628,6,2016-01-02 13:29:05,2
Application_652823628,7,2016-01-02 13:30:28,2
Application_652823628,8,2016-01-02 13:30:28,2
Application_652823628,9,2016-01-02 13:30:28,2
Application_652823628,10,2016-01-13 15:10:55,3
Application_652823628,11,2016-01-13 15:10:55,3
Application_652823628,12,2016-01-13 15:11:03,3
Application_652823628,13,2016-01-14 11:16:20,4
Application_652823628,14,2016-01-14 11:16:20,4
Application_652823628,10,2016-01-14 15:39:51,3
Application_652823628,11,2016-01-14 15:39:51,3
Application_652823628,15,2016-01-14 17:49:11,4
Application_652823628,16,2016-01-14 17:49:11,4
Application_1691306052,0,2016-01-01 12:16:11,0
Application_1691306052,1,2016-01-01 12:16:11,0
Application_1691306052,2,2016-01-01 12:17:31,0
Application_1691306052,3,2016-01-02 13:03:05,5
Application_1691306052,4,2016-01-02 12:59:44,5
Application_1691306052,5,2016-01-02 13:02:38,5
Application_1691306052,6,2016-01-02 13:02:40,5
Application_1691306052,7,2016-01-02 13:03:05,5
Application_1691306052,8,2016-01-02 13:03:05,5
Application_1691306052,9,2016-01-02 13:03:05,5
Application_1691306052,10,2016-01-07 15:29:49,6
Application_1691306052,11,2016-01-07 11:40:09,7
Application_1691306052,17,2016-01-07 15:29:49,6
Application_1691306052,18,2016-01-07 15:29:49,6
Application_428409768,0,2016-01-01 13:19:38,0
Application_428409768,1,2016-01-01 13:19:38,0
Application_428409768,2,2016-01-01 13:20:37,0
Application_428409768,3,2016-01-02 13:06:53,8
Application_428409768,4,2016-01-02 13:02:44,8
Application_428409768,5,2016-01-02 13:05:15,8
Application_428409768,6,2016-01-02 13:05:17,8
Application_428409768,7,2016-01-02 13:06:53,8
Application_428409768,8,2016-01-02 13:06:53,8
Application_428409768,9,2016-01-02 13:06:53,8
Application_428409768,5,2016-01-02 13:25:44,8
Application_428409768,6,2016-01-02 13:25:45,8
Application_428409768,19,2016-01-02 13:26:06,8
Application_428409768,7,2016-01-02 13:26:19,8
Application_428409768,10,2016-01-13 10:57:21,9
Application_428409768,11,2016-01-13 10:57:22,9
Application_428409768,12,2016-01-13 11:08:14,9
Application_428409768,13,2016-01-13 14:19:05,10
Application_428409768,14,2016-01-13 14:19:05,10
Application_428409768,10,2016-01-13 18:01:21,11
Application_428409768,11,2016-01-13 18:01:21,11
Application_428409768,15,2016-01-14 09:00:14,12
Application_428409768,16,2016-01-14 09:00:14,12
Application_1746793196,0,2016-01-01 14:34:53,0
Application_1746793196,1,2016-01-01 14:34:53,0
Application_1746793196,20,2016-01-02 11:06:04,1
Application_1746793196,3,2016-01-04 19:23:02,8
